iter	Passed	Remaining
0	8	8983
1	10	5456
2	18	6304
3	20	5084
4	29	5826
5	33	5539
6	35	5074
7	39	4867
8	45	5034
9	47	4665
10	54	4873
11	58	4779
12	63	4813
13	67	4723
14	70	4601
15	72	4476
16	77	4510
17	82	4526
18	86	4452
19	87	4289
20	94	4411
21	98	4378
22	102	4343
23	106	4324
24	109	4265
25	119	4481
26	122	4423
27	128	4465
28	130	4369
29	131	4261
30	133	4158
31	134	4064
32	135	3975
33	136	3890
34	138	3818
35	139	3743
36	141	3671
37	142	3608
38	144	3569
39	146	3526
40	148	3465
41	149	3409
42	150	3357
43	152	3311
44	153	3264
45	155	3230
46	157	3201
47	159	3167
48	161	3139
49	163	3114
50	165	3085
51	167	3057
52	169	3036
53	171	3009
54	173	2984
55	175	2964
56	177	2938
57	179	2916
58	181	2892
59	183	2871
60	185	2850
61	187	2832
62	189	2815
63	191	2797
64	193	2780
65	195	2767
66	197	2756
67	200	2741
68	202	2728
69	204	2713
70	206	2700
71	208	2682
72	210	2671
73	212	2660
74	214	2645
75	216	2633
76	218	2619
77	220	2605
78	222	2594
79	224	2584
80	227	2576
81	229	2572
82	231	2560
83	233	2548
84	236	2540
85	239	2543
86	241	2537
87	243	2528
88	246	2518
89	248	2508
90	250	2502
91	252	2494
92	254	2486
93	257	2478
94	260	2478
95	262	2468
96	263	2454
97	265	2446
98	267	2431
99	268	2415
100	269	2399
101	271	2388
102	273	2379
103	274	2368
104	279	2382
105	282	2380
106	285	2378
107	287	2376
108	294	2410
109	298	2411
110	301	2415
111	304	2413
112	305	2400
113	307	2387
114	309	2379
115	311	2371
116	312	2359
117	314	2350
118	316	2344
119	318	2338
120	320	2329
121	322	2317
122	324	2314
123	325	2302
124	327	2291
125	328	2279
126	330	2271
127	331	2259
128	333	2249
129	334	2240
130	337	2238
131	339	2232
132	341	2226
133	343	2220
134	345	2214
135	347	2210
136	350	2205
137	352	2201
138	354	2194
139	356	2190
140	358	2185
141	361	2181
142	363	2178
143	365	2173
144	367	2167
145	370	2165
146	372	2160
147	374	2156
148	376	2150
149	378	2145
150	381	2145
151	384	2146
152	388	2148
153	391	2151
154	394	2150
155	395	2141
156	398	2139
157	401	2139
158	403	2131
159	404	2124
160	406	2116
161	407	2108
162	408	2099
163	411	2098
164	413	2094
165	417	2096
166	418	2089
167	420	2081
168	421	2071
169	422	2064
170	425	2064
171	427	2057
172	428	2049
173	431	2050
174	433	2042
175	434	2035
176	435	2027
177	437	2018
178	438	2011
179	440	2007
180	442	2002
181	443	1994
182	445	1986
183	446	1979
184	447	1972
185	448	1964
186	450	1956
187	451	1951
188	453	1944
189	454	1935
190	455	1928
191	456	1919
192	457	1912
193	458	1905
194	460	1899
195	461	1893
196	462	1886
197	464	1880
198	465	1874
199	467	1868
200	468	1862
201	469	1856
202	471	1850
203	472	1844
204	474	1839
205	475	1833
206	477	1829
207	479	1825
208	481	1822
209	483	1819
210	485	1816
211	487	1813
212	489	1809
213	492	1807
214	494	1804
215	495	1799
216	498	1797
217	500	1795
218	502	1791
219	503	1785
220	506	1784
221	508	1781
222	510	1778
223	512	1774
224	514	1772
225	516	1770
226	520	1771
227	522	1768
228	523	1764
229	525	1758
230	526	1753
231	528	1748
232	529	1742
233	530	1736
234	531	1731
235	532	1725
236	534	1719
237	535	1713
238	536	1708
239	537	1703
240	538	1697
241	540	1693
242	541	1688
243	543	1682
244	544	1677
245	545	1672
246	546	1667
247	547	1661
248	549	1655
249	550	1650
